Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Meditating duration (ms)
2015-08-15,1903.3824462890625,1650.3966064453125,,,,50.87181091308594,3.578620672225952,50.872066497802734,3.579324245452881,2.3584952354431152,2.3584952354431152,2.3584952354431152,4027,,,,,81324232,2338567,,
2015-08-16,1960.3037109375,2015.5059814453125,,,,50.86341094970703,3.578620195388794,50.899085998535156,3.6262218952178955,1.9219157695770264,6.324555397033691,0.5,6912,,,,,79585632,3183019,,
2015-08-17,2087.414306640625,4073.759521484375,,,,50.847862243652344,3.578620433807373,51.056888580322266,3.7407376766204834,1.1817560195922852,29.5,0.5,8872,,,,,71559241,5068775,,
2015-08-18,1861.5098876953125,987.5506591796875,,,,50.8718376159668,3.578620672225952,50.872066497802734,3.57938551902771,1.6290948390960693,1.6770509481430054,1.5811388492584229,3358,,,,,83330795,1717361,,
2015-08-19,2645.06494140625,10081.8505859375,,,,50.86176681518555,3.5682671070098877,51.167293548583984,4.148503303527832,2.268782615661621,8.1124906539917,0.5,20368,,,,,55363910,13341827,,
2015-08-20,1921.625244140625,1637.824462890625,,,,50.8478889465332,3.578599214553833,50.89379119873047,3.6269824504852295,2.250385046005249,7.762087345123291,2.0,5728,,,,,75733884,2609207,,
2015-08-21,2093.515869140625,3684.704345703125,,,,50.84788513183594,3.5786008834838867,50.89379119873047,3.627655267715454,1.5,2.5,0.5,8675,,,,,68434866,5159303,,
2015-08-22,2005.9195556640625,2754.5703125,,,,50.86941909790039,3.5786001682281494,51.05717849731445,3.7376139163970947,1.380429744720459,2.0,0.75,8462,,,,,70710352,3859756,,
2015-08-23,2113.930908203125,3299.823486328125,,,,50.861412048339844,3.5499680042266846,50.89379119873047,3.6276423931121826,0.875,1.25,0.5,7680,,,,,74547843,5187000,121455,
2015-08-24,2034.412353515625,2506.091552734375,,,,50.84788513183594,3.5785999298095703,51.038387298583984,3.7260658740997314,6.324555397033691,6.324555397033691,6.324555397033691,9359,,,,,54037352,3981971,132637,
2015-08-25,2040.3306884765625,3006.650634765625,,,,50.856224060058594,3.578599691390991,50.8720703125,3.6216063499450684,,,,7180,,,,,57135352,4370266,,
2015-08-26,1937.438232421875,1812.6544189453125,,,,50.84788513183594,3.578599691390991,50.893775939941406,3.627124309539795,,,,6876,,,,,75860997,2843801,,
2015-08-27,1962.202880859375,2612.108642578125,,,,50.8576774597168,3.578968048095703,51.03004455566406,3.7406954765319824,1.0,1.0,1.0,5795,,,,,76007727,3211195,,
2015-08-28,1870.8367919921875,1367.9879150390625,,,,50.84788513183594,3.578643798828125,51.02405548095703,3.7407798767089844,0.7675028443336487,1.520690679550171,0.55901700258255,4299,,,,,66277964,1855732,,
2015-08-29,2075.22412109375,3604.841796875,,,,50.8062858581543,3.101187229156494,51.03981018066406,3.7349135875701904,3.5571088790893555,29.504236221313477,0.5,9845,,,,,56177453,4887934,,
