Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Height (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
19:45:00.000+01:00,20:00:00.000+01:00,,163.6715850830078,,,,,51.045692443847656,3.727585792541504,51.04593276977539,3.728264808654785,,,,43,,,
20:00:00.000+01:00,20:15:00.000+01:00,,452.17462158203125,,,,,51.04854965209961,3.7321321964263916,51.0495719909668,3.7327942848205566,,,,133,,,
20:15:00.000+01:00,20:30:00.000+01:00,,2.3996331691741943,,,,,,,,,,,,,,,
20:30:00.000+01:00,20:45:00.000+01:00,,2.3996331691741943,,,,,,,,,,,,,,,
20:45:00.000+01:00,21:00:00.000+01:00,,7.837996482849121,,,,,51.049530029296875,3.7328145503997803,51.04957962036133,3.7328672409057617,,,,,,,
21:00:00.000+01:00,21:15:00.000+01:00,,5.240538120269775,,,,,51.04953384399414,3.73283052444458,51.04953384399414,3.73283052444458,,,,,,,
21:15:00.000+01:00,21:30:00.000+01:00,,5.08985710144043,,,,,,,,,,,,181,,,
21:30:00.000+01:00,21:45:00.000+01:00,,5.021142482757568,,,,,51.049583435058594,3.732814311981201,51.049583435058594,3.732814311981201,,,,75,,,
21:45:00.000+01:00,22:00:00.000+01:00,,8.113697052001953,,,,,51.049522399902344,3.7328383922576904,51.049522399902344,3.7328383922576904,,,,,,,
22:00:00.000+01:00,22:15:00.000+01:00,,12.970521926879883,,,,,51.04953384399414,3.732797622680664,51.04957580566406,3.7328250408172607,,,,,,,
22:15:00.000+01:00,22:30:00.000+01:00,,11.487751960754395,,,,,,,,,,,,,,,
22:30:00.000+01:00,22:45:00.000+01:00,,12.593689918518066,,,,,51.049278259277344,3.732945442199707,51.049278259277344,3.732945442199707,2.0,2.0,2.0,,,,
22:45:00.000+01:00,23:00:00.000+01:00,,30.50823974609375,,,,,51.04955291748047,3.7328264713287354,51.04955291748047,3.7328264713287354,,,,,,,
23:00:00.000+01:00,23:15:00.000+01:00,,2.5579659938812256,,,,,,,,,,,,,,,
23:15:00.000+01:00,23:30:00.000+01:00,,2.5579659938812256,,,,,,,,,,,,,,,
23:30:00.000+01:00,23:45:00.000+01:00,,2.5579659938812256,,,,,,,,,,,,166,,,
23:45:00.000+01:00,00:00:00.000+01:00,,8.352097511291504,,,,,51.04961013793945,3.73293137550354,51.04961013793945,3.73293137550354,1.0,1.0,1.0,,,,
